timestamp_ms,distance_cm
9231,3.60
9251,3.66
9251,10.09
9271,3.66
9271,2.97
9291,2.02
9291,2.64
9311,2.67
9311,30.97
9331,3.66
9331,57.14
9351,3.02
9351,60.53
9381,54.24
9381,230.59
9401,4.24
9421,57.83
9421,354.76
9441,53.05
9461,2.95
9461,264.57
9481,4.24
9501,3.29
9501,320.53
9521,53.05
9541,53.36
9541,306.36
9561,53.40
9581,54.21
9581,306.84
9601,54.60
9621,57.10
9621,303.57
9641,57.10
9661,60.09
9681,60.10
9691,6.41
9701,60.09
9721,60.52
9741,60.52
9741,178.47
9761,60.97
9781,61.83
9781,306.90
9801,72.22
9821,72.69
9821,301.48
9841,73.17
9841,4.97
9861,73.59
9861,4.98
9881,73.60
9881,4.97
9901,73.60
9901,3.66
9921,74.03
9921,3.66
9951,3.66
9951,179.88
9971,3.66
9971,74.50
9991,3.66
9991,74.50
10011,3.66
10011,73.66
10031,3.66
10031,5.84
10051,3.66
10051,4.55
10071,3.66
10071,4.57
10091,3.66
10091,4.57
10111,3.66
10111,4.57
10131,3.66
10131,4.57
10151,3.66
10151,4.55
10171,3.66
10171,4.55
10191,3.66
10191,4.57
10211,7.91
10211,4.57
10231,7.90
10231,4.57
10251,7.90
10251,4.55
10271,7.91
10271,4.57
10291,7.91
10291,4.55
10311,6.60
10311,4.55
10331,6.60
10331,4.53
10351,6.59
10351,4.57
10371,6.60
10371,4.53
10391,6.60
10391,4.57
10411,6.60
10411,4.55
10431,6.60
10431,4.57
10451,6.60
10451,3.29
10471,5.31
10471,3.29
10491,5.29
10491,3.28
10511,5.29
10511,3.29
10531,5.29
10531,3.29
10551,5.29
10551,3.29
10571,5.29
10571,3.29
10591,5.29
10591,3.29
10611,5.29
10611,3.28
10631,5.29
10631,3.29
10651,5.29
10651,3.29
10671,5.29
10671,3.28
10691,5.31
10691,3.29
10711,6.60
10711,3.28
10731,6.60
10731,3.29
10751,7.91
10751,3.28
10771,4.97
10771,3.28
10801,3.28
10801,189.26
10821,3.28
10841,3.93
10841,310.14
10861,4.90
10861,3.00
10881,2.64
10881,2.67
10901,3.26
10901,3.66
10921,3.93
10921,3.34
10941,5.19
10941,4.97
10961,5.52
10961,5.29
10981,4.55
10981,8.91
11001,7.12
11001,8.91
11021,9.76
11021,10.29
11041,10.10
11041,13.03
11061,11.45
11061,18.09
11081,13.47
11081,17.12
11101,44.43
11101,16.47
11131,18.40
11131,194.76
11151,19.40
11151,16.79
11171,20.67
11171,16.14
11191,20.66
11191,16.81
11221,19.40
11221,195.81
11241,19.05
11241,58.97
11261,22.33
11271,90.31
11281,20.36
11301,53.74
11301,234.97
11321,21.66
11331,90.95
11361,306.19
11361,153.62
11401,311.24
11401,153.62
11441,306.17
11441,152.79
11481,306.17
11481,153.00
11521,301.07
11521,153.72
11561,306.16
11561,154.24
11601,311.29
11601,154.79
11641,306.16
11641,154.53
11681,306.17
11681,154.22
11721,301.12
11721,153.95
11761,306.17
11761,156.12
11781,75.47
11791,41.98
11821,301.24
11821,156.17
11861,306.17
11861,155.97
11891,112.03
11891,288.45
11931,306.17
11931,160.48
11971,306.16
11971,160.57
12011,306.16
12011,160.52
12051,306.17
12051,159.55
12091,306.17
12091,160.21
12131,306.16
12131,160.00
12171,306.16
12171,160.14
12211,306.19
12211,160.28
12251,306.17
12251,161.03
12291,306.16
12291,161.67
12321,67.95
12321,244.34
12341,56.98
12351,61.66
12361,57.00
12371,62.93
12381,56.98
12401,67.38
12401,248.60
12421,67.79
12431,62.38
12441,56.86
12451,61.81
12461,57.10
12471,63.09
12481,60.55
12491,62.52
12501,57.00
12511,61.52
12521,56.83
12531,61.38
12541,52.52
12551,60.83
12561,51.48
12571,45.36
12581,41.34
12591,46.57
12601,51.14
12621,16.47
12621,192.90
12641,58.40
12641,12.03
12661,57.53
12661,12.02
12681,47.07
12681,13.76
12701,44.41
12701,14.09
12721,37.86
12721,12.72
12741,44.83
12741,12.71
12761,44.81
12761,12.72
12781,44.83
12781,12.72
12801,32.28
12801,12.69
12821,44.41
12821,12.71
12841,44.41
12841,12.71
12861,44.83
12861,12.72
12881,44.43
12881,12.69
12901,32.28
12901,12.71
12921,32.29
12921,12.72
12941,37.86
12941,12.71
12961,44.84
12961,12.72
12981,37.84
12981,12.72
13001,32.28
13001,12.71
13021,37.84
13021,12.72
13041,32.29
